Gene symbol,Uniprot Identifier,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,HF1,HF2,HF3,HF4,HF5,HF6,HF7,HF8,HF9
HDAC6,Q9UBN7,-1.1364624032222785,-1.017283947482479,-0.9177968506638727,-1.3818000242726605,-1.0191139417128916,-1.1260301257159746,-1.3023747968522414,-0.9719201148523169,-1.0553967676955445,-1.0714436581304625,-1.2263323964416166,-1.2292885497697696,-1.39964165596691,-1.1475701493605932,-1.4139764723099475
HDAC7,Q8WUI4,-1.749640318128229,-1.9760119863959318,-1.8701153000478712,-1.880811205274167,-2.1139730164531336,-1.8882846114781664,-2.1186573153737775,-1.6451479173360077,-1.7195337416795375,-1.9808526757007598,-1.6131540725817608,-1.8900002707137595,-2.0432141143454032,-1.825758656410212,-2.0334138846263095
HDAC8,Q9BY41,-3.9102856607932903,-3.522236247581901,-3.7793008875249754,-3.4053415382031904,-3.8786456296071314,-3.6881274919931357,-3.9145442526889074,-3.458785301080356,-3.6799980357094544,-4.073067771447134,-3.8321233484380937,-4.089294553278686,-3.8622556241871813,-3.748049851279637,-3.9655416131514905
HDDC2,Q7Z4H3,0.5894755460324603,1.0678702101720354,0.8324601007297723,0.8351240939320554,0.9495552650025054,0.9784948770870869,0.45596351526120316,1.1057224751350816,0.7716139320592141,0.6650260835870974,0.5399775608230186,0.6897962260294257,0.6386695491826693,0.8629401314282497,0.5821901581355
HDDC3,Q8N4P3,-0.9936194448837199,-0.8753699202986454,-0.6920412016047557,-1.577136345566391,-0.8272252585877631,-1.3240796609095398,-1.372754780945968,-1.1963876799440705,-1.0356973588347032,-1.5131030627927373,-1.1074474374710341,-1.087021901880842,-1.2685054219597305,-1.3505941643620005,-1.2022047085766694
HDGF,P51858,3.2517418925644144,3.215814895931686,2.9381732093756376,3.2805356516338726,3.4389199216046613,3.3532870620609465,3.265813818725629,3.501468954901082,3.4407575629512053,3.217901150928121,3.0938903066947425,3.233932280208446,3.420354039372217,3.1960225492288856,3.3292391692276624
HDGFL2,Q7Z4V5,0.7731958854149283,1.0086399805720276,0.9273757073196016,0.9123162442240762,1.0711090761110746,0.8169570582862562,0.9605209071702312,1.2638293383723216,1.1250954187503446,0.9523316588754192,0.8095085300219331,1.1181592648131904,1.1029929791857604,0.9923347892703411,0.9299834439600012
HDGFL3,Q9Y3E1,-0.5752097926781907,-0.28712181023960426,-0.8437536663842664,-0.35861225802215557,-0.28253232567617204,-0.26188863249908323,-0.12306765956334687,0.008060774444444974,-0.16018216418650155,-0.4112298900103042,-0.060604544438376706,0.005833909841424401,0.05052723787794733,-0.15486326299950193,-0.22096972015493677
HDHD2,Q9H0R4,2.5833513582766408,2.697439755049917,2.904826470408679,2.6446532696991554,2.7360571787380508,2.8622994711425847,2.5049902034746516,2.5038454112839332,2.6363401441703154,2.6140005279848104,2.674758752633796,2.4892728332139065,2.5937700217507214,2.782319254656361,2.0346438056759304
HDHD3,Q9BSH5,0.984342557195216,1.1343741942846357,1.842599944334907,1.374516722019937,1.2071317014346015,1.4289784284367535,0.9786474459350138,1.1219524961452798,1.3078570089284547,1.1987367767113604,1.1014274521399585,0.9435341959335268,1.017712535969114,1.1802395218921298,1.1666593099295781
