"my_auc","power","avg_log2fc","pct_1","pct_2","cluster","gene","avg_expr","statistic","pval","padj"
0.353523858560458,0.292952282879085,-0.98504514905593,0.0855263157894737,0.353744294056712,"Mesothelial","TNNT2",0.15606455872532,377641086.5,1.89474422662502e-118,9.24383249842653e-117
0.476762405071946,0.0464751898561074,-0.0888417865665908,0.0144736842105263,0.0610066365385272,"Mesothelial","LMOD1",0.0285910493660222,509286907.5,3.93435051019981e-14,2.38772505808543e-13
0.483951900167486,0.0320961996650276,-0.0393278217551459,0.0756578947368421,0.108660512026592,"Mesothelial","G0S2",0.147397666479047,516966866.5,6.10191116079205e-05,0.000166641121668274
0.4039448108943,0.1921103782114,-1.23629719100703,0.254605263157895,0.36634290300181,"Mesothelial","RYR2",0.652308032351064,431501732,6.24080371684343e-51,1.31161139690986e-49
0.457430047784677,0.0851399044306455,-0.175445566420867,0.272368421052632,0.372512720980796,"Mesothelial","SMYD3",0.623279407343189,488635706.078125,3.59805577268831e-11,1.80332835141111e-10
0.481164723520499,0.0376705529590022,-0.039854461927998,0.115789473684211,0.156300158229649,"Mesothelial","LPIN1",0.200807941037201,513989550,5.78099043642701e-05,0.000158540647098026
0.344887242371306,0.310225515257388,-1.26325409547603,0.171052631578947,0.427765034662538,"Mesothelial","SLC8A1",0.381618878650613,368415284.5,2.75468165416784e-119,1.35140538421181e-117
0.50879093325312,0.0175818665062402,0.064640238110935,0.0585526315789474,0.0417971017792298,"Mesothelial","NRXN1",0.154001338858573,543500406.5,0.000628433402471931,0.00148423884730262
0.366863963270396,0.266272073459208,-0.632012631561395,0.340789473684211,0.564963800698942,"Mesothelial","SPTBN1",0.68946261110917,391891246.75,1.84395867319376e-78,5.95886241326396e-77
0.522207847783946,0.0444156955678923,0.11610411648858,0.303289473684211,0.272721322298997,"Mesothelial","EHBP1",0.641917089398893,557832616.5,0.000133930563067465,0.000349864294978374
0.546962945406577,0.0939258908131542,0.141505545388279,0.426315789473684,0.290715676118706,"Mesothelial","TMSB10",1.13290025404968,584276495,2.84691132647171e-15,1.84541046307765e-14
0.493776561019967,0.0124468779600657,-0.0192374225596308,0.05,0.0627981035208943,"Mesothelial","IL18R1",0.105115127174035,527461761,0.0458102632235064,0.0779903678967998
0.489486458738369,0.0210270825232627,-0.0583076437433025,0.0171052631578947,0.0380960647489385,"Mesothelial","CXCR4",0.038783401603992,522878990,1.87549062026105e-05,5.46330479722753e-05
0.462412142122248,0.0751757157555032,-0.176297698374389,0.0585526315789474,0.134374252962537,"Mesothelial","ARHGAP15",0.148306398680911,493957676.5,1.13722046670715e-17,8.32795295619386e-17
0.458916148591583,0.0821677028168331,-0.173724780788511,0.311842105263158,0.408845777317381,"Mesothelial","ZEB2",0.751705541013226,490223187.96875,4.86639296548568e-10,2.22096172345514e-09
0.437542349441433,0.124915301117134,-0.370075106846247,0.0401315789473684,0.162175430008993,"Mesothelial","SCN7A",0.0815557762043046,467391278.5,1.99274132093273e-39,3.18766213844388e-38
0.336837263561707,0.326325472876586,-1.6275334508831,0.109210526315789,0.401987261944062,"Mesothelial","TTN",0.271977588400835,359816140,3.5602168954055e-136,1.99055682418672e-134
0.447692380682203,0.104615238635594,-0.275404128164969,0.144736842105263,0.244554452627864,"Mesothelial","TFPI",0.325581723265209,478233740,8.02769408265389e-21,6.85330820085799e-20
0.48300539059612,0.0339892188077596,-0.115889417328185,0.125657894736842,0.154942684439992,"Mesothelial","MYO1B",0.244782624992684,515955786.5,0.000270947283711711,0.000675049308350637
0.447460595458881,0.105078809082238,-0.217895609522828,0.105263157894737,0.209290015595296,"Mesothelial","ANKRD44",0.198781407143754,477986142.5,2.01642303007612e-23,1.93427246218413e-22
